epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,488.635,1.45906,2.68251,1.74202,0.00898,0.05556,0.00987,0.00416,2.4109,8.11081,3.59613,0.000539324,0.000539324,0.000539324
2,976.391,1.95496,2.74579,2.10534,0,0,0,0,4.76697,5816.39,504.206,0.00107692,0.00107692,0.00107692
3,1461.63,2.17094,2.96085,2.29087,0,0,0,0,0,0.00074,0,0.00159619,0.00159619,0.00159619
4,1947.49,2.23943,3.07708,2.37012,0,0,0,0,7.16702,2.55806e+08,53044.1,0.00158448,0.00158448,0.00158448
5,2432.4,2.21937,3.07505,2.41702,0.00065,0.16667,0.00068,0.00021,3.56307,2463.02,19.6423,0.00155698,0.00155698,0.00155698
6,2920.43,2.07788,2.90759,2.28474,0.0002,0.05556,0.00012,5e-05,4.24239,3228.19,10.5185,0.00152947,0.00152947,0.00152947
7,3378.94,1.97826,2.79164,2.20233,0.51306,0.5,0.09224,0.03924,2.72471,47.559,4.8093,0.00150197,0.00150197,0.00150197
8,3863.63,2.01397,2.88739,2.20829,0.78532,0.33333,0.36865,0.10263,2.27895,7.20357,3.33041,0.00147446,0.00147446,0.00147446
9,4348.61,1.92515,2.60315,2.14116,0.31912,0.55556,0.27808,0.1414,1.92179,8.43295,2.73108,0.00144696,0.00144696,0.00144696
10,4833.34,1.82575,2.46192,2.09095,0.19924,0.77778,0.37208,0.23781,2.07499,4.03527,2.83192,0.00141945,0.00141945,0.00141945
11,5318.9,1.80014,2.43689,2.04191,0.74108,0.33333,0.34838,0.20702,2.08004,6.90505,2.84479,0.00139195,0.00139195,0.00139195
12,5804.06,1.83403,2.45823,2.04388,0.97745,0.33333,0.50488,0.27482,2.22918,3.68276,3.07794,0.00136444,0.00136444,0.00136444
13,6289.17,1.67424,2.28714,1.95959,0.98407,0.5,0.52419,0.37807,1.88983,4.12973,2.40503,0.00133693,0.00133693,0.00133693
14,6774.4,1.74092,2.43254,1.99219,0.47467,0.61111,0.5853,0.38687,1.69002,2.93586,2.17953,0.00130943,0.00130943,0.00130943
15,7259.57,1.67454,2.32553,1.94344,0.9794,0.5,0.54424,0.38627,1.58873,2.49142,2.29008,0.00128192,0.00128192,0.00128192
16,7745.61,1.63416,2.25095,1.88938,0.97081,0.5,0.56131,0.34287,1.79836,2.94674,2.44621,0.00125442,0.00125442,0.00125442
17,8230.92,1.61773,2.24693,1.87192,1,0.47319,0.57496,0.37121,1.84811,3.07357,2.36404,0.00122691,0.00122691,0.00122691
18,8716.2,1.65358,2.26597,1.86986,0.99397,0.5,0.65281,0.29942,2.08622,2.88566,2.73921,0.00119941,0.00119941,0.00119941
19,9148.88,1.64425,2.14729,1.87432,0.94349,0.33333,0.5603,0.37396,1.60554,2.66339,2.13736,0.0011719,0.0011719,0.0011719
20,9635.16,1.60386,2.11287,1.89182,0.53066,0.77778,0.60909,0.41477,1.61755,1.82832,2.16144,0.0011444,0.0011444,0.0011444
21,10121.3,1.57171,2.05723,1.84847,0.98498,0.5,0.58435,0.4075,1.70866,2.30715,2.30752,0.00111689,0.00111689,0.00111689
22,10607.7,1.60005,2.12792,1.88999,0.95284,0.5,0.54949,0.30291,1.92962,3.04135,2.65438,0.00108938,0.00108938,0.00108938
23,11093,1.54694,2.03443,1.80102,0.98122,0.5,0.58612,0.42375,1.56965,2.61249,2.11428,0.00106188,0.00106188,0.00106188
24,11581.4,1.52503,1.9586,1.81819,0.52812,0.72222,0.68076,0.42389,1.45315,2.15016,2.0258,0.00103437,0.00103437,0.00103437
